Geneid,sample1,sample2,sample3,sample4,sample5,sample6
ACOXL-AS1,11,43,24,37,28,16
BCL2L11,482,527,431,419,460,313
AC108463.2,7,14,21,13,2,3
AC108463.1,17,15,14,27,11,13
AC108463.3,3,19,14,5,5,2
AC068491.2,0,1,0,2,0,0
AC068491.3,2,1,0,0,0,0
RPS14P4,0,0,0,2,0,0
MIR4435-2,0,0,0,0,0,0
AC068491.1,0,0,0,0,0,0
AC017002.4,0,0,0,0,0,2
AC017002.3,0,0,0,0,0,0
SOCAR,0,0,0,0,0,0
AC017002.2,0,0,0,0,0,0
AC017002.1,0,0,0,0,0,0
ANAPC1,1875,1703,1163,1616,1355,2804
AC093166.4,0,0,0,0,0,0
AC093166.1,0,0,0,0,0,0
AC093166.2,1,0,0,0,0,0
MIR4771-2,0,0,0,0,0,0
AC093166.3,0,0,0,0,0,0
EEF1E1P1,2,0,3,0,1,14
MERTK,283,346,194,290,218,496
RN7SL297P,0,0,0,0,0,0
AC104651.1,0,0,0,2,1,7
AC104651.2,4,0,0,0,0,0
AC093675.1,4,4,0,0,0,0
TMEM87B,546,642,465,551,459,239
AC093675.2,0,0,0,0,0,0
FBLN7,10,28,2,6,10,4
AC092645.1,0,0,0,0,5,0
ZC3H8,464,489,222,430,381,294
AC092645.2,19,21,10,35,21,17
ZC3H6,571,702,226,570,512,330
NDUFB4P6,2,0,1,0,0,6
AC115115.1,0,0,0,0,0,0
RGPD8,254,272,144,289,188,182
VINAC1P,0,0,0,0,0,0
TTL,2595,2652,2399,2512,1845,2889
POLR1B,1174,1279,589,1004,873,1445
AC012442.1,0,0,0,0,0,0
CHCHD5,612,505,337,382,413,516
AC012442.3,9,15,10,11,11,30
AC012442.2,2,0,2,6,6,18
AC079922.1,3,0,0,1,0,1
AC079922.2,86,72,68,40,41,86
SLC20A1,1695,1859,1298,1604,1005,2082
NT5DC4,0,0,0,1,0,0
CKAP2L,381,326,108,174,194,210
IL1A,36,6,3,2,38,55
AC079753.2,4,2,0,4,0,0
IL1B,8,1,1,10,0,6
AC079753.1,12,0,0,0,2,6
XIAPP3,0,0,0,2,0,0
IL37,0,0,0,0,0,0
CDK8P2,0,0,2,2,0,0
IL36G,0,0,0,0,0,0
HMGN2P23,0,0,0,0,0,0
AC016724.1,0,0,0,0,0,0
IL36A,0,0,0,0,0,0
IL36B,0,0,0,0,0,0
IL36RN,0,0,0,0,0,0
IL1F10,0,0,0,0,0,0
RNU6-1180P,0,0,0,0,0,0
IL1RN,0,0,4,2,10,0
PSD4,54,50,12,34,36,61
AC016683.1,0,0,0,0,0,0
PAX8-AS1,1045,960,822,792,815,1324
PAX8,61,63,35,42,50,47
AC016745.1,2,0,0,1,0,0
IGKV1OR2-108,0,0,0,0,0,0
AC016745.2,0,0,0,0,0,0
CBWD2,1536,1597,1230,1723,1248,1490
FOXD4L1,6,14,10,0,0,6
LINC01961,0,0,0,0,0,0
PGM5P4-AS1,0,0,7,0,0,0
PGM5P4,1,0,0,0,0,0
FAM138B,0,0,0,0,0,0
AL078621.4,0,1,0,0,1,2
MIR1302-3,0,0,0,0,0,0
WASH2P,501,577,358,550,427,485
DDX11L2,32,16,8,16,27,14
AL078621.3,178,190,166,246,205,82
RPL23AP7,483,429,431,524,386,663
RABL2A,579,613,451,615,488,821
AL078621.1,79,133,54,92,80,143
AL078621.2,0,0,0,0,0,0
AC017074.2,0,0,0,0,0,0
AC017074.1,4,10,5,10,0,20
RNU6-744P,0,0,0,0,0,0
SLC35F5,3317,3597,2723,4071,2555,1986
MIR4782,0,0,0,0,0,0
AC104653.2,0,0,0,0,0,0
AC104653.1,0,0,2,1,0,0
AC110769.2,10,12,4,10,15,10
ACTR3,6168,7821,6147,7512,4972,5512
AC110769.3,0,1,0,3,0,0
LINC01191,4,6,10,0,8,0
AC110769.1,0,2,1,2,0,2
AC010982.1,0,0,0,0,0,0
AC010982.3,0,0,0,0,0,0
AC010982.2,0,0,0,0,0,0
SEPHS1P7,0,0,0,0,0,0
RNU2-41P,0,0,0,0,0,0
DPP10,257,195,34,90,139,111
DPP10-AS3,0,0,0,0,0,0
DPP10-AS2,0,0,0,0,0,0
AC093610.1,0,0,0,0,0,0
DPP10-AS1,30,33,6,5,27,18
RPSAP23,0,0,0,0,0,0
AC016721.1,0,2,1,0,0,0
AC104408.1,0,0,0,0,0,0
AC062016.1,0,0,0,0,0,0
MTCYBP39,0,0,0,0,0,0
AC062016.2,0,0,0,0,0,0
MTND1P28,0,0,0,0,0,0
MTND2P21,0,0,0,0,0,0
MTCO1P43,0,0,0,0,0,0
RNU7-190P,0,0,0,0,0,0
AC092170.1,0,0,0,0,0,0
AC064856.1,0,0,0,0,1,0
AC009312.1,10,4,0,0,3,8
DDX18,2808,3019,1756,2717,2280,2757
AC009404.1,55,41,26,30,27,48
HTR5BP,2,4,0,5,1,0
CCDC93,2162,1975,1385,2189,1481,2849
AC009303.1,0,3,0,1,0,2
AC009303.2,4,0,0,2,1,2
AC009303.3,0,0,0,0,0,6
AC009303.4,34,26,38,38,21,34
RN7SL111P,0,0,0,0,0,0
INSIG2,602,650,600,830,437,405
THORLNC,4,3,5,3,4,2
LINC01956,2,0,0,0,0,0
EN1,2,0,1,0,0,0
MARCO,0,0,0,0,0,0
AC013457.1,0,0,0,0,0,0
C1QL2,2,0,0,0,2,0
RN7SL468P,0,0,0,0,0,0
STEAP3,240,116,82,130,212,345
STEAP3-AS1,6,4,9,4,2,2
C2orf76,124,129,82,116,120,91
DBI,2010,2158,1980,2123,1613,4591
TMEM37,119,192,176,89,91,155
SCTR,13,8,6,16,2,21
AC013275.1,34,22,16,13,2,58
CFAP221,199,115,67,86,152,219
TMEM177,448,371,276,392,312,414
AC069154.1,0,0,0,0,0,1
PTPN4,1385,1345,1043,1599,1127,1321
AC016691.1,0,0,0,0,0,0
EPB41L5,2401,2691,2261,2688,1890,2703
AC012363.2,0,0,0,0,0,0
AC012363.1,0,0,8,0,0,0
MTATP6P26,4,0,0,4,0,0
MTCO3P43,0,2,0,0,0,0
MTND3P10,0,0,0,0,0,0
MTND4LP14,0,0,0,0,0,0
MTND4P26,2,2,0,0,8,0
MTND5P28,0,1,2,2,0,0
TMEM185B,1818,1995,1627,1968,1430,1891
RALB,1911,1751,1563,1874,1318,1982
AC012363.3,0,1,0,0,0,0
INHBB,6,16,20,2,0,0
LINC01101,0,4,0,0,0,0
AC073257.2,0,0,0,0,0,0
AC073257.1,0,0,0,0,0,0
AC018866.1,0,0,0,0,0,0
AC018866.2,0,0,0,0,0,0
GLI2,1225,1216,775,1131,795,796
AC017033.1,8,0,10,6,4,0
AC016764.1,0,0,0,0,0,0
AC067960.1,0,0,0,0,0,0
AC079988.1,0,0,0,0,0,0
TFCP2L1,32,2,18,12,18,20
AC013399.1,0,0,0,0,0,0
CLASP1,5003,4796,3286,4906,3971,5048
AC012447.1,16,6,15,5,3,6
RNU4ATAC,0,6,0,3,0,0
AC079449.1,0,0,0,0,0,0
NIFK-AS1,190,175,122,159,106,166
RPL12P15,0,0,0,1,2,2
AC018737.2,0,6,0,0,0,2
NPM1P32,0,0,0,0,0,0
NIFK,884,1035,588,995,645,700
TSN,2748,2792,2252,2675,2153,2896
AC018737.1,0,0,0,0,0,0
LINC01823,3,2,0,7,0,3
AC011246.1,0,0,0,0,0,0
AC073632.1,0,0,0,0,0,0
AC062020.1,0,0,0,0,0,0
LINC01826,0,0,0,0,0,0
AC073409.2,0,0,0,0,0,0
AC073409.1,0,0,0,0,0,0
AC092646.2,0,0,0,0,0,0
AC092646.1,0,0,0,0,0,0
AC064859.1,0,0,0,0,0,0
RN7SKP102,0,0,0,0,0,0
AC079154.1,0,0,1,0,0,0
CNTNAP5,6,10,2,11,0,6
MTND5P22,0,0,0,0,0,0
AC019159.2,0,0,0,0,0,0
AC019159.1,0,0,0,0,0,0
RNA5SP102,0,0,0,0,0,0
RNU6-259P,0,0,0,0,0,0
AC097499.2,0,0,0,0,0,0
LINC01889,0,1,0,4,2,1
AC097499.1,0,0,0,0,0,0
LINC01941,1,0,0,0,0,0
AC142116.2,1,0,0,1,0,0
AC023347.1,0,0,0,0,0,0
AC023347.2,0,0,0,0,0,0
YWHAZP2,7,1,6,4,1,3
AC013474.2,0,0,0,0,0,0
GYPC,2150,1580,1301,1406,1508,2461
AC013474.1,9,2,0,5,0,2
RNU6-675P,0,0,0,0,0,0
TEX51,0,0,0,0,0,0
RNU7-182P,0,0,0,0,0,0
AC012508.2,0,11,5,5,5,0
AC012508.3,0,0,0,0,0,0
AC012508.1,0,0,18,0,0,3
BIN1,1179,1645,968,1355,824,949
AC110926.2,2,0,1,0,0,0
NIFKP9,0,0,0,0,0,0
CYP27C1,22,23,10,14,2,16
AC110926.1,0,0,0,0,0,0
ERCC3,2160,2064,1712,2134,1644,3578
AC068282.1,0,0,5,2,0,1
MAP3K2,1388,1440,1105,1516,1069,821
RNU6-1147P,0,0,0,0,0,0
MAP3K2-DT,155,110,54,133,112,76
AC068282.2,4,5,3,2,3,0
PROC,6,4,4,5,2,14
MIR4783,1,0,1,0,0,0
IWS1,2850,2944,1887,2809,2410,4326
AC010976.1,77,49,28,44,70,35
RNU4-48P,1,0,0,0,0,0
MYO7B,189,218,192,271,98,81
AC010976.2,23,30,28,49,29,27
LIMS2,5702,5697,6068,6451,4018,4417
GPR17,635,705,300,914,480,618
WDR33,3005,2921,1625,2625,2056,3117
SFT2D3,0,0,0,0,0,0
RNY4P7,0,0,0,0,0,0
AC006011.1,0,0,0,0,0,0
AC006011.3,0,0,2,4,0,0
POLR2D,1855,1777,1172,1636,1363,1933
RNU6-395P,0,0,0,0,0,0
AC006011.2,0,0,0,0,0,0
AC012306.3,0,0,0,10,0,2
AMMECR1L,1570,1571,1139,1835,1245,2014
AC012306.2,276,317,212,212,179,93
AC012306.4,52,36,65,65,36,57
AC012306.1,0,0,0,0,0,0
SAP130,1994,1819,799,1552,1354,2338
AC108059.4,0,0,0,0,0,0
AC108059.1,0,0,0,0,0,0
UGGT1,6153,6049,4655,6307,4718,7624
AC108059.2,0,0,0,0,0,2
AC108059.3,0,0,0,0,0,0
DYNLT3P2,0,0,0,0,1,0
AC017079.1,1,0,0,0,0,0
AC017079.2,0,0,0,0,0,0
HS6ST1,1580,1491,773,1137,869,889
AC013277.1,0,0,0,0,0,0
RNA5SP103,0,0,0,0,0,0
ISCA1P6,0,0,0,2,0,0
AC012451.1,0,0,0,0,0,0
AC068483.1,0,0,0,0,0,0
LINC01854,0,0,0,0,0,2
PPIAP65,0,0,0,0,0,0
LINC02572,10,18,22,18,26,31
AC079776.5,0,6,0,4,0,0
PLAC9P1,3,0,0,0,6,0
LINC01856,0,0,0,0,0,0
RPL22P7,0,0,0,0,0,0
RAB6C-AS1,0,0,0,0,0,0
RAB6C,1,0,0,3,11,6
AC079776.3,0,0,0,0,0,0
AC079776.4,0,0,0,0,0,0
AC079776.2,0,0,0,0,0,0
AC079776.1,0,0,0,0,2,3
ARHGAP42P2,0,0,0,0,0,0
FAR2P1,9,2,10,0,7,9
AC018865.3,50,25,17,39,39,43
KLF2P1,31,8,18,7,43,23
CYP4F27P,0,0,0,0,0,0
POTEF,119,53,38,20,26,55
AC018865.2,0,0,0,0,0,0
AC018865.1,0,0,0,2,0,0
RNU6-1049P,0,0,0,0,0,0
MED15P9,29,7,17,13,20,5
CCDC74B,34,26,21,32,33,49
SMPD4,2870,2584,1886,2524,1943,2767
MZT2B,706,459,490,504,542,464
TUBA3E,0,0,0,3,0,2
AC018804.1,2,3,1,3,0,2
RHOQP3,97,113,49,86,93,36
NOC2LP1,37,30,26,24,33,27
AC134915.1,0,0,0,0,0,0
MED15P5,0,0,0,0,0,0
MTND1P29,0,0,0,0,0,0
MTND2P22,0,0,0,0,0,0
MTCO1P7,0,0,0,0,0,0
MTCO2P7,0,0,0,0,0,0
MTATP6P7,0,0,0,0,0,0
MTCO3P7,0,0,0,0,0,0
AC068137.3,0,0,0,0,0,0
AC068137.4,0,0,0,0,0,0
MTND4P27,0,0,0,0,0,0
MTND5P29,0,0,0,0,0,0
MTND6P8,0,0,0,0,0,0
MTCYBP8,0,0,0,0,0,0
AC068137.1,0,0,0,0,0,0
AC068137.2,0,0,0,0,0,0
AC132479.1,0,0,0,0,0,0
CCDC115,605,591,495,597,364,803
IMP4,1708,1570,1427,1684,1232,1805
PTPN18,304,225,219,119,132,202
FAR2P2,14,8,15,7,4,14
KLF2P2,0,0,0,0,0,0
CYP4F62P,0,0,0,0,0,2
POTEI,9,3,3,3,0,0
RNU6-473P,0,0,0,0,0,0
AC013269.2,0,0,0,0,0,0
AC013269.3,0,0,0,0,0,0
CFC1B,0,0,2,0,0,0
AC013269.1,0,0,0,0,0,0
PRSS40B,0,0,0,0,0,0
PRSS40A,0,0,0,0,0,0
AC140481.2,0,0,0,0,0,0
CFC1,16,26,4,12,0,0
AC140481.3,0,0,0,0,0,0
POTEJ,1,0,0,0,0,0
RNU6-848P,0,0,0,0,0,0
CYP4F30P,0,1,0,0,6,0
AC140481.4,0,0,0,1,4,0
FAR2P3,5,2,7,1,1,0
KLF2P3,0,0,0,0,0,0
GPR148,0,0,0,0,0,0
AC140481.1,0,0,0,0,0,0
AMER3,5,0,0,0,0,0
CYCSP8,0,0,0,0,0,0
AC133785.1,0,0,0,0,0,2
ARHGEF4,343,155,110,108,202,146
AC112786.2,0,0,0,0,0,0
AC112786.1,0,0,0,0,0,0
SMIM39,0,0,0,0,0,0
FAM168B,8629,8635,6393,8588,6460,6810
PLEKHB2,5139,5317,4963,5486,3622,6065
NEK2P4,0,4,2,2,4,0
AC009477.1,2,0,0,0,0,0
NF1P8,5,2,6,1,0,4
AC131180.1,0,1,0,0,0,0
MED15P8,1,0,0,0,0,0
POTEE,46,11,4,2,20,10
RNU6-127P,0,0,0,0,0,0
FAR2P4,12,8,0,1,19,5
KLF2P4,6,0,0,1,0,0
AC073869.7,0,0,0,0,0,0
ARHGAP42P1,0,0,0,1,1,2
AC073869.9,0,0,0,0,0,0
AC073869.2,0,0,0,0,0,0
RAB6D,20,6,32,18,10,33
AC073869.5,0,0,0,0,0,0
MTCYBP10,0,0,0,0,0,0
MTND6P10,0,0,0,0,0,0
MTND5P23,0,0,0,0,0,0
MTND4P21,0,0,0,0,0,0
AC073869.6,0,0,0,0,0,0
MTND3P18,0,0,0,0,0,0
MTCO3P18,0,0,0,0,0,0
MTATP6P4,0,0,0,0,0,0
MTCO2P18,0,0,0,0,0,0
MTCO1P18,0,0,0,0,0,0
MTND2P18,0,0,0,0,0,0
MTND1P26,0,0,0,0,0,0
MED15P3,0,0,0,0,0,0
AC073869.4,0,0,0,0,0,0
LINC01120,0,0,0,0,0,0
AC073869.8,0,0,0,0,0,0
GNAQP1,24,6,11,13,9,25
NOC2LP2,1,2,0,0,0,1
RHOQP2,92,81,104,108,113,86
AC073869.3,0,0,0,0,0,0
MZT2A,1302,915,719,751,787,749
TUBA3D,30,22,14,25,48,28
MIR4784,0,0,0,0,0,0
AC073869.1,823,655,324,630,524,761
CCDC74A,66,69,77,64,62,101
MED15P4,3,0,0,0,1,0
AC093838.1,2,6,4,0,0,0
POTEKP,0,0,2,0,0,0
RNU6-617P,0,0,0,0,0,0
LINC01087,0,0,2,0,0,0
GRAMD4P8,0,0,0,0,0,0
C2orf27A,78,70,20,62,50,82
AC093838.2,6,0,0,1,6,4
AC093724.1,39,12,33,7,33,39
AC093724.3,2,0,0,1,0,0
C2orf27B,0,0,0,2,0,3
AC103564.3,0,0,0,0,0,0
AC103564.1,0,0,0,0,0,0
AC103564.2,2,1,0,0,0,0
AJ239322.2,0,0,0,0,0,0
AJ239322.1,0,0,0,0,0,0
LINC01945,0,0,0,0,0,0
AC093787.2,0,0,0,0,0,0
AC093787.1,0,0,0,0,0,0
AC098826.3,0,0,0,0,0,0
AC098826.1,0,0,0,0,0,0
AC098826.2,0,1,0,2,1,0
ANKRD30BL,8,0,22,8,21,7
RNU6-1132P,0,0,0,0,0,0
RNA5-8SP5,0,0,0,0,0,0
MIR663B,0,0,0,1,0,0
CDC27P1,0,0,0,0,2,0
AC097532.1,0,0,0,0,0,0
ZNF806,0,0,0,4,0,7
AC097532.2,3,4,2,0,2,0
AC097532.3,2,0,0,0,0,0
FAM201B,20,2,10,0,2,5
RNU6-175P,0,0,0,0,0,0
GPR39,53,15,10,11,28,40
YBX1P7,0,0,0,0,0,0
RN7SKP103,0,0,0,0,0,0
LYPD1,25,63,89,49,85,74
AC010974.1,0,0,0,0,0,0
NCKAP5,359,260,254,344,333,445
AC010974.2,0,3,0,0,1,0
AC016909.1,0,1,0,0,0,0
NCKAP5-AS1,0,0,0,0,0,0
AC011755.1,2,0,0,0,0,0
NCKAP5-AS2,3,0,0,0,2,0
RNU6-579P,0,0,0,0,0,0
RN7SKP154,0,0,0,0,0,0
NCKAP5-IT1,0,0,1,0,0,0
AC011243.1,0,0,0,0,0,0
RN7SKP93,0,0,0,0,0,0
AC092623.1,0,0,0,0,0,0
MGAT5,18334,17505,13735,19402,13126,26566
MIR3679,0,2,0,1,0,3
RNA5SP104,0,0,0,0,0,0
EDDM3CP,0,2,0,0,2,0
TMEM163,2868,2913,1972,2885,2041,3044
AC110620.2,26,50,58,52,30,43
CCNT2-AS1,154,143,144,155,144,157
VDAC2P4,0,0,0,0,8,0
AC110620.1,0,0,0,0,0,0
ACMSD,23,13,3,6,11,6
MIR5590,0,0,0,0,0,0
CCNT2,2516,2630,1884,2729,2091,1633
MAP3K19,0,6,2,0,10,2
RAB3GAP1,3149,3299,2661,3308,2607,4766
SNORA40B,0,0,0,0,0,0
ZRANB3,480,476,206,375,372,603
AC064850.1,8,2,2,4,0,0
R3HDM1,2072,2082,1295,2047,1605,2214
RNU6-512P,0,0,0,0,0,0
MIR128-1,0,0,0,0,0,0
UBXN4,5530,5536,4153,5639,4726,3819
LCT,1,0,0,2,4,2
AC011893.1,0,0,0,0,0,0
LCT-AS1,0,0,0,0,0,0
MCM6,2287,2408,956,1869,1458,3595
AC011999.1,0,0,0,0,0,0
DARS1,1847,1760,1218,1889,1314,1796
DARS-AS1,20,21,10,20,14,38
AC068492.1,0,0,0,0,0,0
CXCR4,89,120,99,108,66,149
HNRNPKP2,3,10,0,20,10,33
AC112255.1,0,0,0,0,0,0
UBBP1,0,7,1,3,3,7
RN7SKP141,0,0,0,0,0,0
SMC4P1,0,0,0,0,0,0
THSD7B,6,4,0,3,10,6
RNA5SP105,0,0,0,0,0,0
AC016679.1,0,0,0,0,0,0
HNMT,197,320,138,201,174,253
LINC01832,0,0,0,0,0,4
AC097523.1,7,3,0,1,0,2
YWHAEP5,0,6,0,0,0,0
AC097523.2,0,1,0,0,0,0
AC097721.1,0,0,0,2,0,0
AC114763.1,10,22,5,25,14,21
AC114763.2,0,0,0,2,0,0
SPOPL,1094,1047,471,1097,844,444
AC092620.1,2,3,0,0,0,0
AC092620.2,2,0,2,1,0,0
LINC02631,16,8,6,3,11,2
NXPH2,1733,1017,483,1087,1334,823
RN7SKP286,0,0,0,0,0,0
YY1P2,0,0,0,0,0,0
AHCYP4,0,0,0,0,0,0
AC023468.1,0,0,0,0,0,0
AC013265.1,0,0,0,0,0,0
AC062021.1,0,0,0,0,0,0
AC016710.2,0,0,0,0,0,0
AC016710.1,0,0,0,0,0,0
MRPS18BP2,0,0,0,0,0,0
AC012497.1,0,0,0,0,0,0
AC078851.1,0,0,0,0,0,0
RN7SL283P,0,0,0,0,0,0
LINC01853,0,0,0,0,0,0
MTCO1P44,0,0,0,0,0,0
MTND2P19,0,0,0,0,0,0
MTND1P27,0,0,0,0,0,0
LRP1B,83,135,126,104,82,97
AC092156.1,0,0,0,0,0,0
MIR7157,0,0,0,0,0,0
AC117947.1,0,0,0,1,0,0
AC010740.1,0,0,0,0,0,0
AC073319.1,0,0,0,0,0,0
RNU6-904P,0,0,0,0,0,0
AC068287.1,0,0,0,0,0,0
AC078882.1,0,0,0,0,0,0
UBE2V1P14,0,0,0,0,0,0
AC013444.1,0,0,0,0,0,0
KYNU,5,4,4,2,4,10
AC013444.2,0,0,0,0,0,0
ARHGAP15,0,0,0,0,0,0
MTCYBP11,0,0,0,0,0,0
MTND6P11,0,0,0,0,0,0
MTND5P24,0,0,0,0,0,0
MTND4P22,0,0,0,0,0,0
MTND4LP12,0,0,0,0,0,0
MTND3P9,0,0,0,0,0,0
MTCO3P5,0,0,0,0,0,0
AC013437.2,0,0,0,0,0,0
MTCO2P5,0,0,0,0,0,0
AC013437.1,0,0,0,0,0,0
AC079793.1,0,0,2,0,0,0
AC092652.2,0,0,0,0,0,0
ARHGAP15-AS1,0,0,0,0,0,0
AC092652.1,0,2,0,0,6,0
AC079584.2,0,0,0,0,0,0
AC079584.1,0,0,0,0,0,0
AC016910.1,0,0,0,0,0,0
AC016910.2,0,0,1,0,0,0
GTDC1,747,598,474,564,476,724
ZEB2,2379,2787,2107,2577,1910,2547
AC009951.5,0,0,0,0,2,0
AC009951.4,0,0,0,8,8,8
ZEB2-AS1,4,4,0,0,0,4
AC009951.2,0,0,0,0,0,0
AC009951.1,0,0,0,0,0,0
AC009951.3,0,0,0,0,0,0
AC009951.6,16,4,12,4,10,2
LINC01412,0,0,0,6,0,0
TEX41,6,8,0,1,2,6
AC023128.1,0,0,0,0,0,0
AC023128.3,0,0,0,0,0,0
AC023128.2,0,0,0,0,0,0
LINC01966,0,0,0,0,0,0
AC096666.1,0,0,0,0,0,0
RPL6P5,0,0,0,0,0,0
AC092484.1,0,2,0,0,0,0
AC079163.2,0,0,0,0,0,0
AC079163.1,0,0,0,0,0,0
AC079248.2,0,0,0,0,0,0
AC079248.1,0,0,0,0,0,0
AC079248.3,0,0,0,0,0,0
RNU7-2P,0,0,0,0,0,0
RPL17P12,0,0,0,0,0,0
AC093084.1,0,0,0,0,0,0
PABPC1P2,0,0,0,0,0,0
AC103881.1,0,0,0,0,0,0
LINC01911,0,0,0,0,0,0
AC062032.1,0,0,0,0,0,0
AC018678.1,0,0,0,0,0,0
RNU6-692P,0,0,0,0,0,0
AC013406.1,0,0,0,0,0,0
RNU6-715P,0,0,0,0,0,0
RNA5SP106,0,0,0,0,0,0
AC009480.2,0,0,0,0,0,0
ACVR2A,463,570,279,561,374,516
RNU6-1275P,0,0,0,0,0,0
AC009480.1,0,0,0,3,0,0
ORC4,1206,1360,930,1394,947,900
MBD5,1123,1016,707,1048,882,1376
AC019226.1,2,2,0,0,0,0
AC019226.2,0,0,0,0,2,0
AC019070.1,0,0,0,0,0,0
AC019070.2,0,0,0,0,0,0
RPS29P8,0,0,0,0,0,0
EPC2,1261,1351,1021,1403,1107,1372
RNU2-9P,0,0,0,0,0,0
UBBP3,0,0,0,0,0,0
KIF5C-AS1,0,0,4,0,0,0
AC105402.2,0,0,0,0,0,0
AC105402.1,0,0,0,0,6,0
KIF5C,112,177,99,102,63,55
AC105402.3,0,0,0,0,0,2
LYPD6B,162,239,220,201,82,225
TXNP5,0,0,0,0,0,0
AC009230.1,0,3,0,0,0,0
FAM8A3P,0,0,0,0,0,0
LYPD6,1393,1827,1503,1993,906,1334
AC007394.1,0,0,0,2,0,0
MMADHC,3916,4373,4041,4662,3313,5468
MMADHC-DT,33,25,10,22,8,9
RNU6-601P,0,0,0,0,0,0
LINC01931,6,0,0,1,0,0
AC016682.1,0,0,0,0,0,0
LINC01818,0,0,0,0,0,0
LINC01817,0,0,0,0,0,0
RND3,2415,2955,5157,2913,1860,2105
LINC01920,0,0,0,0,0,0
AC104777.2,0,0,0,0,0,0
AC104777.1,0,0,0,0,0,0
LINC02612,0,0,0,0,0,0
AC023469.2,0,0,0,0,0,0
AC023469.1,0,0,0,0,0,0
AC018731.1,0,0,0,0,0,0
FABP5P10,0,0,0,0,0,0
RBM43,56,52,54,29,62,34
NMI,8,8,12,2,12,4
TNFAIP6,8,10,0,0,4,2
MIR4773-1,0,0,0,0,0,0
MIR4773-2,0,0,0,0,0,0
RN7SL124P,0,0,0,0,0,0
RIF1,2325,2262,1058,2223,1791,1062
NEB,445,600,537,643,388,824
ARL5A,1941,2127,1355,2217,1822,655
AC097448.1,232,239,164,183,216,114
AC068547.1,0,0,0,0,0,0
CACNB4,10,16,8,14,8,4
AC079790.1,0,0,0,0,0,0
STAM2,1229,1415,967,1466,1191,899
RPL30P2,0,0,3,5,2,0
AC079790.2,4,0,2,3,0,0
AC079347.1,0,0,0,0,0,0
FMNL2,1180,1210,919,1167,853,1025
AC012066.1,0,0,0,2,0,0
AC012066.2,0,2,0,2,0,0
AC012443.1,0,0,0,0,0,0
AC012443.2,56,47,29,29,39,25
PRPF40A,4251,5089,3086,4496,3687,2307
ARL6IP6,320,435,193,409,290,253
AC009969.1,0,0,0,0,0,0
UBQLN4P2,0,0,0,0,0,0
ATP5PBP4,0,0,0,0,0,0
AC011901.1,0,0,0,0,0,0
AC079150.1,0,0,0,0,0,0
LINC01850,0,0,0,0,0,0
RPL23AP29,0,0,0,0,0,0
AC012501.3,0,0,0,0,0,2
AC012501.2,0,0,0,0,0,0
AC012501.1,0,0,0,0,0,0
RPRM,12,5,10,14,15,5
DNAJA1P2,0,0,0,0,0,0
GALNT13,240,529,463,513,186,217
PHBP4,5,1,0,0,0,2
AC009227.1,0,10,3,0,0,6
AC009227.2,0,0,0,0,0,0
RNA5SP107,0,0,0,0,0,0
AC061961.1,3,13,9,14,6,6
KCNJ3,64,202,96,226,92,57
CBX3P6,0,0,0,0,0,0
AC092625.1,0,0,0,0,0,0
RNU6-1001P,0,0,0,0,0,0
MTCO1P45,0,0,0,0,0,0
MTND2P20,0,0,0,0,0,0
ATP5F1AP2,0,2,0,3,0,4
MTND4P28,0,0,0,0,0,0
MTND5P30,0,0,0,0,0,0
MTND6P9,0,0,0,0,0,0
MTCYBP9,0,0,0,0,0,0
RNU6-546P,0,0,0,0,0,0
AC073225.1,0,0,0,0,0,0
LINC01876,107,105,68,75,78,48
AC073551.1,0,0,0,0,0,0
AC074099.1,0,0,2,0,0,0
NR4A2,41,54,62,38,36,20
GPD2,1072,953,679,749,758,959
LINC01958,0,0,0,0,0,0
RPLP0P7,0,0,0,0,0,0
AC096589.2,0,0,0,0,0,0
AC096589.1,0,0,0,0,0,0
AC108057.1,0,0,0,0,0,0
CDK7P1,0,0,0,2,0,0
GALNT5,629,726,1662,1008,530,988
RN7SKP281,0,0,0,1,0,0
ERMN,8,2,16,2,0,4
FAM133DP,39,27,42,45,16,18
CYTIP,24,50,44,73,34,60
ACVR1C,45,24,44,28,8,16
AC019186.1,1,0,0,0,3,0
ACVR1,1059,918,896,1095,871,1462
UPP2,0,0,7,1,0,0
AC013731.1,10,3,0,14,4,8
RNU6-436P,0,0,0,0,0,0
AC091488.1,0,1,2,0,4,2
AC005539.1,0,0,0,0,0,0
RNU6-932P,0,0,0,0,0,0
PTP4A1P1,0,0,0,0,0,0
UPP2-IT1,0,0,0,0,0,0
CCDC148-AS1,0,0,0,0,0,6
CCDC148,17,25,6,7,4,8
HNRNPDLP2,0,0,0,0,0,0
RN7SL393P,1,0,0,0,0,0
PKP4,1725,1414,1327,1510,1275,2537
AC005042.1,1,4,0,0,4,0
PKP4-AS1,11,5,0,20,7,18
AC005042.2,0,0,0,0,0,0
AC005042.3,0,0,0,0,0,0
DAPL1,0,0,0,0,0,0
AC064843.1,0,0,0,0,0,0
OR7E89P,0,0,0,0,0,0
OR7E28P,0,0,0,0,0,0
OR7E90P,0,0,0,0,0,0
RNU2-21P,0,0,0,0,0,0
TANC1,6695,7501,4639,7522,5039,7076
BTF3L4P2,216,189,97,154,167,341
RNU6-580P,0,0,0,0,2,0
GSTM3P2,0,0,0,0,0,1
MIR6888,0,0,0,0,0,3
WDSUB1,340,270,210,351,265,275
