Geneid,NCH3_2_DAPT,NCH3_1_DAPT,NCH1_2_DAPT,NCH3_2_DMSO,NCH1_1_DAPT,NCH1_1_DMSO,NCH1_2_DMSO,NCH3_1_DMSON
AL606752.1,0,0,0,0,0,0,0,0
OR10AE1P,0,0,0,0,0,0,0,0
APCS,0,0,0,0,0,0,0,0
OR10J6P,0,0,0,0,0,0,0,0
AL445528.2,0,0,0,0,0,0,0,0
CRPP1,0,0,0,0,0,0,0,0
CRP,0,0,8,0,0,0,0,0
AL445528.1,0,0,0,0,0,0,0,0
DUSP23,231,259,202,195,191,150,250,272
FCRL6,0,0,0,0,0,0,0,0
SLAMF8,0,0,0,0,0,0,0,0
AL590560.2,28,20,3,30,14,16,4,18
SNHG28,0,0,0,0,0,0,0,0
AL590560.1,0,0,0,0,0,0,0,0
VSIG8,0,0,0,0,0,0,0,0
AL590560.3,210,317,23,232,83,79,63,138
CFAP45,0,3,16,2,2,14,31,1
MIR4259,0,0,0,0,0,0,0,0
AL590560.5,0,0,0,0,0,0,0,0
AL590560.4,0,0,0,0,0,0,0,0
TAGLN2,902,830,4176,664,1536,1211,4759,219
IGSF9,1502,1013,1555,640,688,593,1088,650
SLAMF9,0,0,0,0,4,6,0,2
LINC01133,0,0,4,18,2,4,4,0
AL513485.1,0,0,0,0,0,0,0,0
KCNJ10,5,4,10,0,14,19,12,10
AL513302.1,0,0,0,2,0,0,0,0
PIGM,647,611,1101,451,600,486,997,322
AL121987.1,0,0,0,0,0,0,0,0
KCNJ9,0,0,0,0,0,0,0,0
IGSF8,516,482,898,453,443,455,1278,426
ATP1A2,1823,3273,340,2165,2091,2144,1038,3418
ATP1A4,14,18,11,6,4,12,10,22
CASQ1,982,1260,163,840,913,1151,677,1830
AL121987.2,37,22,3,23,20,8,3,11
PEA15,10203,10772,3482,7393,11471,11558,7684,14307
DCAF8,2144,1916,1569,1905,1920,2182,1785,1289
AL139011.2,2,1,0,0,1,4,2,3
AL139011.1,41,35,20,37,33,40,29,31
RPSAP18,21,18,5,5,3,19,4,0
PEX19,2557,2626,2404,1957,2434,2458,2714,2139
COPA,11033,10023,7566,8677,8540,9197,9196,7002
SUMO1P3,6,0,12,1,14,2,2,1
AL513282.1,11,5,6,2,2,0,0,1
NCSTN,5052,4368,3650,3890,4287,4297,4831,3646
NHLH1,32,18,136,4,27,11,101,10
RNU4-42P,0,0,0,0,0,0,0,0
VANGL2,2485,2015,5720,1919,2420,2520,5726,1469
SLAMF6,0,0,0,0,0,0,0,0
AL138930.1,0,0,0,0,0,0,0,0
CD84,0,0,0,0,0,0,0,0
SLAMF1,0,0,0,0,0,0,0,0
SETP9,0,0,0,0,0,0,0,0
AL121985.1,0,0,67,0,19,7,61,0
CD48,0,0,1,0,0,0,0,0
SLAMF7,0,0,0,0,6,10,0,0
AL121985.3,0,0,0,0,0,0,0,0
AL121985.2,0,0,0,0,0,0,0,0
LY9,0,0,0,0,0,0,0,0
CD244,12,20,4,0,10,2,8,0
PPIAP37,0,0,0,0,0,0,0,0
ITLN1,30,26,36,36,70,107,81,18
AL354714.2,138,92,108,90,98,78,91,74
AL354714.3,0,0,0,0,4,6,0,0
AL354714.1,0,0,0,0,0,1,0,0
AL354714.4,0,0,0,0,0,0,0,0
ITLN2,10,8,68,0,4,3,34,0
F11R,1948,1196,2456,1155,1475,1453,2401,1162
AL591806.4,6,1,3,14,7,13,2,17
AL591806.2,0,0,0,8,0,0,2,0
TSTD1,571,834,154,647,382,461,315,1129
USF1,1410,1413,1970,1100,1347,1288,1763,978
ARHGAP30,37,130,48,70,81,119,61,37
NECTIN4,0,6,65,1,14,34,49,0
AL591806.1,0,0,0,0,0,0,0,0
KLHDC9,225,321,279,280,125,221,229,185
PFDN2,1447,1110,2138,924,1202,1391,1800,764
NIT1,1336,1291,972,1087,1153,1173,1389,927
DEDD,1079,1035,679,857,893,963,875,910
AL591806.3,4,0,0,0,0,0,0,0
UFC1,1470,1762,1827,1312,1734,1545,1969,1211
AL590714.1,4,8,6,4,8,3,6,5
USP21,729,622,1021,605,577,679,1075,488
PPOX,479,509,1005,470,575,534,913,406
B4GALT3,1546,1040,1259,1120,1319,1297,1610,820
ADAMTS4,12,2,88,12,3,44,77,4
NDUFS2,9171,9087,4146,7717,9465,8732,5292,9087
FCER1G,10,3,7,0,0,10,3,0
APOA2,0,0,770,0,173,165,399,0
TOMM40L,572,673,328,425,617,500,453,648
MIR5187,0,0,0,0,0,0,0,0
NR1I3,52,35,15,29,28,18,36,9
PCP4L1,58,67,50,23,67,54,49,25
MPZ,7,2,54,7,16,14,14,8
SDHC,5198,4810,4355,3765,4122,4218,3904,3527
CFAP126,0,0,0,0,0,0,0,0
RRM2P2,0,0,4,0,0,0,0,1
AL592295.4,16,20,21,39,18,12,10,18
AL592295.5,26,22,22,12,18,23,4,23
RNU6-481P,0,0,0,0,0,0,0,0
AL592295.3,1,1,10,13,2,0,0,0
AL592295.1,0,2,0,6,0,3,0,0
AL592295.2,0,7,0,4,0,0,0,0
AL831711.1,0,14,0,2,7,2,10,2
FCGR2A,0,0,6,0,0,2,6,0
AL590385.2,0,0,0,0,0,0,0,0
HSPA6,92,164,12,39,74,125,10,0
RPS23P10,0,0,0,0,0,0,0,0
FCGR3A,0,0,0,0,0,0,0,0
AL590385.1,0,0,0,0,0,0,0,0
FCGR2C,0,0,0,1,0,0,2,0
HSPA7,0,0,0,0,6,4,0,0
RPS23P9,0,0,0,0,0,0,0,0
FCGR3B,0,0,0,0,0,0,0,4
FCGR2B,0,0,2,0,0,0,0,0
AL451067.1,0,0,0,0,0,0,0,0
RPL31P11,0,0,0,0,0,0,0,0
AL359541.1,0,0,0,0,0,0,0,0
FCRLA,0,11,0,4,6,0,2,32
FCRLB,10,18,50,8,13,36,56,22
RN7SL466P,0,0,0,0,0,0,0,0
DUSP12,702,740,1425,653,715,692,1404,432
AL359541.2,6,2,26,2,6,4,0,0
ATF6,3203,3063,2393,2380,2646,2367,2806,1864
AL391825.1,10,4,0,8,6,14,2,2
OLFML2B,65,37,77,68,8,14,92,16
AL590408.1,0,0,0,0,0,0,0,0
NOS1AP,472,395,108,282,318,359,135,237
AL450163.1,0,4,0,7,4,0,0,0
MIR4654,1,0,0,0,0,0,0,0
AL512785.1,0,2,0,0,0,0,0,0
RNA5SP61,0,0,0,4,0,0,0,1
MIR556,0,0,0,0,0,0,0,0
AL512785.2,0,0,0,0,0,0,0,0
SPATA46,24,17,3,1,3,16,4,11
C1orf226,760,425,176,500,479,519,291,387
SH2D1B,0,0,0,0,4,0,0,6
SLAMF6P1,0,0,0,0,0,0,0,0
UHMK1,3580,2917,2077,2049,2748,2430,2229,1117
UQCRBP2,0,0,0,0,0,0,0,0
AL596325.1,0,0,0,0,0,0,0,0
UAP1,873,862,1594,736,740,774,1570,463
AL596325.2,0,0,5,6,12,3,5,0
DDR2,836,576,790,906,519,421,1024,232
RN7SL861P,0,0,0,0,0,0,0,0
HSD17B7,345,312,557,191,311,255,674,300
CCDC190,0,19,6,2,6,9,2,8
AL392003.2,0,0,0,0,0,0,0,0
AL392003.1,0,0,0,0,0,0,0,0
RGS4,621,1252,140,317,293,509,266,52
RGS5,25302,23855,2270,15114,20967,19318,6204,12969
AL499616.1,7,38,5,0,0,6,4,15
AL451063.1,0,0,0,0,0,0,0,0
AL592435.1,17,29,44,62,15,17,65,16
AL592435.2,1,0,0,0,0,0,0,4
NUF2,576,586,1537,343,616,535,1442,375
AL603841.1,0,0,0,0,0,0,0,0
RNA5SP62,0,0,0,0,0,0,0,0
RNA5SP63,0,0,0,0,0,0,0,0
AL355862.1,0,0,0,0,0,0,0,0
AL358875.1,0,0,0,0,0,0,0,0
NMNAT1P2,0,0,0,0,0,0,0,0
RNU5F-6P,0,0,0,0,0,0,0,0
HMGB3P6,0,2,0,0,0,0,2,0
PBX1,12746,13646,16365,12295,10694,11470,15809,10876
RNU6-171P,10,6,4,0,8,0,10,0
AL391001.1,18,14,10,16,11,2,4,23
AL391001.2,0,0,0,0,0,0,0,0
AL357568.1,11,0,0,0,0,6,8,0
AL357568.2,12,2,12,16,6,2,7,2
AL390119.1,6,0,0,0,0,0,0,0
AL390119.2,0,0,0,0,0,0,0,0
RNU6-755P,0,0,0,0,0,0,0,0
LMX1A,0,0,32,0,0,0,15,0
LMX1A-AS2,0,0,4,0,0,0,0,0
LMX1A-AS1,0,0,0,0,0,0,0,0
RXRG,904,996,365,634,448,460,722,1484
LRRC52-AS1,294,257,39,225,470,376,164,195
AL157714.1,40,17,2,14,7,26,3,10
LRRC52,2,0,0,2,0,4,6,2
AL356441.2,0,0,0,0,0,0,0,0
AL356441.1,0,0,2,0,0,0,0,0
MGST3,9289,8934,2241,6705,10157,10285,6409,5817
ALDH9A1,3381,2311,2325,2359,2895,2720,2378,1531
AL451074.1,0,0,0,0,0,0,0,0
AL451074.4,0,0,0,0,0,8,0,0
AL451074.3,0,0,0,0,0,0,0,0
AL451074.2,0,0,0,0,6,0,0,0
AL451074.6,0,0,0,0,0,0,0,0
TMCO1,2573,2766,2613,2128,3141,2752,2419,1445
TMCO1-AS1,23,28,14,38,41,21,18,4
AL451074.5,0,0,0,0,0,0,0,0
UCK2,1338,1283,1995,1237,1897,2230,2443,869
AL358115.1,12,31,16,14,15,31,42,10
MIR3658,0,0,0,0,0,0,0,0
AL606495.2,0,0,0,0,0,0,0,0
AL606495.1,0,0,0,0,0,0,0,0
RNA5SP64,0,0,0,0,0,0,0,0
FAM78B,27,53,38,22,19,6,43,21
FAM78B-AS1,0,0,0,0,0,0,0,0
AL596087.3,2,0,0,0,0,0,0,0
MIR921,0,0,0,0,0,0,0,0
AL596087.2,1,0,4,0,0,0,0,0
AL596087.1,33,49,82,40,68,33,121,41
AL583804.1,0,0,0,0,0,0,0,0
FMO7P,0,0,0,0,0,0,0,0
LINC01675,0,0,0,0,0,0,0,0
FMO8P,0,0,0,0,0,0,0,0
FMO9P,0,0,0,0,0,0,0,0
FMO10P,0,0,0,0,0,0,0,0
RPL4P2,0,0,2,0,2,0,0,0
FMO11P,0,0,0,0,0,0,0,0
CNN2P10,0,0,0,0,0,0,0,0
POGK,3121,3057,2672,2490,2980,3560,3274,1758
TADA1,471,603,893,481,483,566,867,314
DUTP6,2,8,6,12,6,5,6,0
ILDR2,1130,1100,1002,703,1345,1055,1051,774
MAEL,26,13,75,45,44,86,42,14
RNA5SP65,0,0,4,0,0,0,0,0
AL158837.1,0,0,0,0,0,0,0,0
GPA33,4,2,4,0,16,6,6,10
DUSP27,6201,7284,707,6767,7088,8881,2268,5611
AL451050.1,0,0,0,0,0,0,0,0
LINC01363,0,0,0,0,0,0,0,0
AL451050.2,8,0,14,2,0,2,2,0
POU2F1,1450,1616,3292,1262,1878,1833,2986,718
AL136984.1,10,20,14,10,6,1,17,10
CD247,2,15,24,9,0,0,18,2
AL359962.3,2,1,2,2,0,0,0,3
AL359962.1,0,0,0,0,0,0,0,0
AL359962.2,0,0,0,0,2,0,0,0
AKR1D1P1,0,0,0,0,0,0,0,0
CREG1,3696,2977,3666,2265,3118,3339,4084,2181
AL031733.1,0,0,0,0,0,0,0,0
AL031733.2,8,9,0,12,4,6,9,8
RCSD1,7641,7878,883,6785,5055,6039,3601,5931
MPZL1,2337,2181,3463,2184,2345,2445,3997,1469
ADCY10,35,14,43,19,10,46,74,42
Z99943.2,2,0,4,0,5,0,4,3
Z99943.1,0,0,4,2,9,0,4,0
MPC2,2368,2736,966,1920,2425,2191,1448,1837
DCAF6,6761,6987,2032,6185,6562,6888,3462,4719
MIR1255B2,0,0,0,0,0,0,0,0
GCSHP5,59,82,211,37,93,49,158,65
GPR161,1225,1301,1490,992,1225,1232,1505,719
TIPRL,2998,2808,1871,1923,3050,2710,2269,1815
RPL34P1,0,0,0,0,0,0,0,0
AL021397.1,0,0,0,0,0,0,0,0
SFT2D2,2156,2118,2299,1675,1813,1937,2711,1203
ANKRD36BP1,0,0,0,0,0,0,0,0
RNU6-1310P,0,0,0,0,0,0,0,0
TBX19,55,36,38,42,10,28,46,18
AL022100.1,0,0,2,0,0,0,4,0
MIR557,0,0,0,0,0,0,2,0
AL023755.1,0,0,0,0,0,0,0,0
AL022100.2,0,0,0,0,0,0,0,0
QRSL1P1,0,0,0,0,0,0,0,0
XCL2,0,0,0,0,0,0,2,2
AL031736.1,0,0,19,0,10,0,11,0
XCL1,8,8,23,8,8,4,38,5
AL031736.2,0,0,0,0,0,0,0,0
DPT,0,0,0,0,0,0,0,0
AL135926.1,0,1,0,6,6,0,0,0
AL031275.1,0,1,0,0,0,0,0,0
LINC00626,0,0,2,2,0,0,6,2
SUMO1P2,0,0,0,0,0,0,0,0
AL135926.2,0,4,0,0,0,0,0,0
LINC00970,4,6,0,0,0,0,0,0
RPL29P7,0,0,0,0,0,0,0,0
AL031726.2,0,0,0,0,0,0,0,0
RNA5SP66,0,0,0,0,0,0,0,0
AL031726.1,0,0,0,8,0,0,0,0
ATP1B1,17147,19611,3343,12952,13094,11774,6602,17232
NME7,401,318,676,264,339,331,437,200
Z99758.1,0,0,0,0,0,0,0,0
BLZF1,941,985,545,679,1043,1024,794,671
CCDC181,121,188,219,77,127,135,168,126
SLC19A2,558,548,807,517,684,819,882,281
AL021068.1,0,3,2,1,3,4,1,0
Z99572.1,501,386,147,288,375,348,184,332
F5,4,29,14,0,8,51,33,4
SELP,0,1,0,12,8,4,20,0
C1orf112,166,165,505,84,150,129,392,62
SELL,2,0,20,2,0,12,8,0
SELE,0,0,23,0,0,0,141,0
AL021940.1,0,0,0,0,0,0,0,0
METTL18,114,129,287,82,133,208,249,88
SCYL3,619,539,455,642,653,623,504,297
RN7SL333P,15,10,16,1,2,0,12,2
AL031297.1,0,0,0,0,0,0,0,0
KIFAP3,9006,7978,1581,6224,8184,8258,4012,5995
RN7SL269P,0,0,0,4,0,0,0,0
MRPS10P1,0,0,0,0,0,0,0,0
AL356475.1,5,6,0,2,3,0,0,0
SIGLEC30P,0,0,0,0,0,0,4,0
METTL11B,120,96,35,62,97,51,39,91
MIR3119-2,0,0,0,0,0,0,0,0
MIR3119-1,0,0,0,0,0,0,0,0
LINC01681,4,17,4,7,2,0,0,15
ISCUP1,0,0,0,0,0,0,0,0
LINC01142,3,0,4,4,0,0,0,0
HAUS4P1,0,0,0,0,0,0,0,0
GORAB-AS1,76,25,3,28,50,38,18,22
GORAB,784,861,382,742,872,936,447,346
AL162399.1,0,0,0,0,0,0,0,0
AL023495.1,0,0,2,0,2,0,0,0
PRRX1,2024,1401,402,1660,4262,4765,1132,70
Z97200.1,6,6,0,16,30,10,0,0
BX284613.2,0,0,4,8,2,0,2,15
MROH9,0,0,2,0,0,0,5,0
BX284613.1,0,0,0,0,0,0,0,0
FMO3,2,0,0,0,0,6,6,2
MIR1295A,0,0,0,0,0,0,0,0
MIR1295B,0,0,0,0,0,0,0,0
FMO6P,0,0,0,0,0,0,0,0
FMO2,0,0,0,0,0,0,0,0
AL021026.1,0,0,0,0,0,0,0,0
FMO1,0,2,24,0,8,7,6,2
AL445673.1,0,0,0,0,0,0,0,0
HMGB1P11,0,0,4,0,0,0,3,0
FMO4,244,273,73,214,173,217,117,162
AL031274.1,20,9,8,17,43,11,18,4
SRP14P4,0,2,2,5,2,13,0,1
GM2AP2,0,0,0,0,0,0,0,0
CYCSP53,0,0,0,0,0,0,0,0
PRRC2C,8058,6793,8459,6184,5753,6333,9491,3356
MYOCOS,0,0,0,0,0,0,1,0
MYOC,0,0,8,4,1,4,4,0
PFN1P1,94,47,90,51,95,94,104,57
RPL4P3,0,0,5,0,0,0,0,0
VAMP4,409,379,670,304,457,559,614,237
Z98751.1,0,0,0,0,0,0,0,0
Z98751.3,0,0,0,0,0,0,0,0
Z98751.2,0,0,0,0,0,0,0,0
AL135931.1,0,0,0,0,0,0,0,2
EEF1AKNMT,718,811,1604,690,809,802,1371,682
AL031864.1,0,0,0,2,0,0,0,0
AL031864.2,0,0,0,0,0,0,0,0
DNM3,37,56,30,22,62,14,50,10
DNM3-IT1,0,0,0,0,0,0,0,0
DNM3OS,53,76,323,192,12,8,347,2
MIR214,0,0,0,0,0,0,0,0
MIR3120,0,0,0,0,0,0,0,0
MIR199A2,0,0,0,0,0,0,0,0
AL137157.1,2,16,10,1,3,9,4,10
RNU6-157P,0,0,0,0,0,0,0,0
PIGC,724,827,790,587,867,810,839,568
C1orf105,1357,1506,207,1175,1573,1642,301,2062
SUCO,3823,3936,3537,2318,3516,3209,3719,2199
RNU6-693P,0,0,0,0,0,0,0,0
FASLG,0,6,0,0,0,0,0,0
SLC25A38P1,4,1,0,0,5,4,0,0
Z98043.1,0,0,0,0,0,0,0,0
AL031599.1,0,0,0,1,0,0,0,0
AIMP1P2,2,0,0,0,0,0,0,0
Z97198.1,0,0,0,0,0,2,0,0
TNFSF18,4,6,5,14,0,2,10,2
GOT2P2,2,0,1,2,1,0,8,2
AL022310.1,8,0,0,0,3,0,0,3
TNFSF4,46,37,53,68,49,47,118,58
AL645568.3,0,0,0,0,0,0,0,0
AL645568.2,0,4,3,0,0,0,2,0
AL645568.1,64,79,77,61,89,59,153,42
PRDX6,8374,7693,8536,6585,8231,8614,9707,5946
SLC9C2,0,0,4,9,0,9,4,0
AL139142.1,0,0,0,5,0,0,0,0
AL139142.2,3,2,2,2,8,5,0,0
ANKRD45,53,17,16,18,13,12,23,2
TEX50,0,0,0,0,0,0,0,0
KLHL20,1065,1114,588,952,864,873,796,542
BX248409.1,0,0,0,0,4,0,0,0
RN7SKP160,5,0,13,0,9,9,0,0
CENPL,358,462,449,257,451,497,526,219
AL109921.1,0,0,0,0,0,0,0,0
DARS2,1904,1899,1674,1454,1797,1720,1993,1576
GAS5,5186,4358,7275,4303,4168,4091,7540,2016
GAS5-AS1,116,93,34,79,104,56,39,48
ZBTB37,1862,1521,842,1458,1082,1132,871,770
SERPINC1,0,0,10,10,4,24,0,2
RNA5SP67,0,0,0,0,0,0,0,0
RC3H1,1858,1629,1358,1260,1769,1742,1402,841
RNA5SP68,0,0,0,0,0,0,0,0
RC3H1-IT1,0,0,0,0,0,0,0,0
LINC02776,0,0,0,0,1,4,2,0
RPL30P1,0,0,0,0,0,0,0,0
RABGAP1L-DT,2,12,6,16,0,12,4,4
RABGAP1L,819,1171,1047,1190,1083,1425,1107,602
AL022400.1,0,0,0,0,0,0,0,0
GPR52,0,12,0,0,0,0,0,0
BANF1P4,0,0,0,0,0,2,0,0
NDUFAF4P4,0,0,0,0,0,0,0,0
Z99127.3,0,0,0,0,0,0,0,0
RABGAP1L-IT1,0,0,0,0,0,0,1,1
Z99127.2,0,0,0,0,0,0,0,0
Z99127.1,0,0,1,0,0,0,0,0
RNU6-307P,0,0,0,0,0,0,0,0
Z99127.4,1,2,11,0,2,6,14,6
CACYBP,2529,2566,4132,1805,2652,2649,3966,1745
MRPS14,908,996,1516,973,1064,1145,1468,806
Z99297.1,0,0,0,0,0,0,0,0
ENTR1P2,0,0,0,0,0,0,0,0
TNN,4,0,24,2,0,0,74,0
KIAA0040,145,206,42,125,150,131,212,122
AL008626.1,0,0,0,0,0,0,0,0
RPS29P4,0,0,0,0,0,0,0,0
Z94057.1,0,0,0,0,0,0,0,0
TNR,0,0,40,2,0,0,43,0
TNR-IT1,0,0,0,0,0,0,0,0
LINC01657,0,0,0,0,0,0,0,0
LINC02803,0,0,6,0,10,0,14,10
RPS29P5,0,0,0,2,0,2,0,0
COP1,1908,1796,2154,1413,1639,1781,1992,1188
SCARNA3,3,0,0,0,0,4,0,0
AL590723.1,2,1,7,0,1,8,4,0
AL591043.2,19,7,6,4,17,8,2,6
AL359265.3,0,0,0,0,0,0,0,0
AL359265.2,0,0,0,0,0,0,8,0
RNU2-12P,0,0,0,0,0,0,0,0
AL359265.1,2,0,0,2,0,0,0,0
AL591043.1,0,0,0,0,0,0,0,0
MORF4L1P7,0,0,0,0,0,0,0,0
PAPPA2,748,747,79,452,849,709,397,977
PTP4A1P7,0,0,0,0,0,0,0,0
AL031290.1,0,0,0,0,0,0,2,0
ASTN1,468,873,90,540,433,556,219,670
MIR488,0,0,0,0,0,0,0,0
BRINP2,52,270,14,161,106,177,10,344
LINC01645,0,0,0,0,0,0,0,0
AL136114.1,0,0,1,0,0,0,0,0
LINC01741,0,0,0,0,0,0,0,0
SEC16B,0,6,0,6,0,0,6,0
CRYZL2P-SEC16B,4,0,2,0,0,0,0,0
CRYZL2P,24,22,4,8,2,0,10,33
AL359075.1,0,0,0,0,0,0,0,0
RASAL2-AS1,159,214,47,112,166,159,96,109
RASAL2,7939,6148,1401,5162,6632,6966,2558,3851
AL160281.1,0,4,0,0,2,0,0,0
AL365357.1,0,0,0,4,2,8,0,0
CLEC20A,9,0,0,0,0,1,0,0
AL035702.1,2,0,0,0,0,0,0,0
AL513013.1,3,0,2,2,0,0,0,0
TEX35,12,24,10,8,5,8,4,20
C1orf220,20,16,23,21,13,21,2,28
RNA5SP69,2,0,0,2,0,0,0,0
AL137796.1,0,0,8,4,4,0,12,5
MIR4424,0,0,0,0,0,0,0,0
AL449106.1,37,20,42,26,8,22,51,9
RALGPS2,2291,2229,2433,1817,1610,1551,2187,1413
PTPN2P1,0,0,1,5,4,2,2,1
AL162255.1,0,0,0,0,0,0,0,0
ANGPTL1,2,9,24,6,0,26,18,2
FAM20B,3852,3761,3028,3416,3336,3432,3320,2733
AL139132.1,10,0,4,6,0,10,0,0
TOR3A,442,667,1273,488,621,702,1309,539
ABL2,1590,1288,1542,1147,1355,1217,1430,661
AL512326.5,0,0,0,0,3,0,0,0
SETP10,0,0,0,0,6,0,0,2
AL512326.2,4,0,0,0,0,0,0,0
AL512326.1,0,0,0,0,0,0,0,0
EIF4A1P11,0,2,2,0,0,0,0,0
AL512326.3,0,4,0,5,0,0,2,2
COX5BP8,0,0,0,0,0,0,0,0
AL512326.4,0,0,0,0,0,0,0,0
SOAT1,803,872,1255,672,705,758,1279,485
AXDND1,13,4,14,14,1,17,16,14
MEF2AP1,0,0,0,0,0,0,0,0
HNRNPA1P54,0,1,2,4,2,1,3,5
AL160286.3,0,6,0,0,0,0,0,0
NPHS2,0,0,0,0,0,0,0,0
RNU5F-2P,0,0,0,0,0,0,0,0
AL160286.1,0,0,0,0,0,0,0,0
AL160286.2,0,0,0,0,0,0,0,0
TDRD5,10,0,0,4,0,0,4,0
AL359853.2,0,0,0,0,0,0,0,0
FAM163A,0,12,12,0,4,0,22,0
AL359853.1,0,0,0,0,0,0,0,0
LINC02818,0,0,0,2,0,0,2,0
TOR1AIP2,2873,2685,1688,1958,2052,2302,2181,1671
AL353708.3,2,0,12,3,2,0,9,4
TOR1AIP1,1560,1366,959,1197,1236,1076,1205,893
RN7SL230P,0,0,0,0,0,0,0,0
AL353708.2,0,0,0,0,0,0,0,0
AL353708.1,17,8,0,2,4,11,18,0
CEP350,2739,2386,2514,2084,2114,2002,2434,1325
RPSAP16,3,0,2,1,0,3,0,1
AL590632.1,3,10,1,0,6,0,0,0
AL390718.1,0,0,0,0,0,0,0,0
QSOX1,5213,3662,2760,3776,4575,3989,4064,1582
LHX4,94,88,37,114,72,52,45,26
ACBD6,1972,1998,1990,1519,1922,1911,2019,1380
VDAC1P4,6,2,0,3,0,0,0,0
MIR3121,0,0,0,0,0,0,0,0
OVAAL,89,42,18,37,99,97,12,66
AL358354.1,0,0,0,0,0,0,0,0
XPR1,12053,8981,3525,7567,11865,11285,5783,4042
AL358434.1,0,0,0,0,0,0,0,0
LINC02816,10,4,0,0,10,0,0,2
KIAA1614,187,107,61,149,141,88,76,87
AL162431.1,23,16,21,48,20,19,18,13
KIAA1614-AS1,6,6,0,4,8,4,0,0
AL162431.2,17,0,0,10,9,15,0,0
AL162431.3,6,0,0,6,2,5,0,4
STX6,878,912,1205,608,638,748,1250,450
MR1,10,2,34,0,4,16,12,0
IER5,1271,1472,1367,872,1756,2173,1480,779
LINC01732,16,4,0,2,10,2,0,2
AL358393.1,0,0,0,0,0,4,0,0
LINC01699,0,0,0,0,0,0,0,0
CACNA1E,4,0,12,0,10,0,8,10
AL590998.1,0,0,0,0,0,0,0,0
RNA5SP70,0,0,0,0,0,0,0,0
AL161734.2,0,0,0,0,0,0,0,0
AL161734.1,0,0,0,0,0,0,0,0
RN7SKP229,0,0,0,0,0,0,0,0
AL391477.1,0,0,0,0,0,0,0,0
ZNF648,0,0,7,0,0,0,0,0
AL355482.1,0,0,1,0,0,0,0,0
AL355482.2,0,0,0,0,0,0,0,0
LINC01344,0,0,0,0,0,0,0,0
AL390856.1,0,0,0,0,0,0,0,0
YPEL5P1,0,0,0,0,0,0,0,0
RNU6-152P,0,0,0,0,0,0,0,0
AL513480.1,0,0,0,0,0,0,0,0
EIF1P3,0,3,1,1,0,2,1,0
GLUL,6005,6262,9005,5105,6801,5621,8975,3220
TEDDM1,0,0,4,0,0,0,0,0
LINC00272,0,0,0,0,0,2,0,0
RGSL1,0,0,0,0,0,0,0,0
AL139344.1,0,0,0,0,0,0,0,0
TEDDM2P,0,0,0,0,0,0,0,0
RNASEL,2,4,110,12,59,30,135,6
AL138776.1,0,0,0,0,0,0,0,0
RGS16,50,49,273,67,75,69,176,24
LINC01686,6,13,13,4,18,22,8,16
RGS8,14,47,18,4,12,16,54,93
LINC01688,0,0,0,0,0,0,0,0
AL353778.1,0,0,0,0,0,0,0,0
NPL,115,68,119,96,93,122,93,49
AL355999.1,40,27,47,16,16,51,24,20
DHX9,8140,8589,13915,6883,9025,10063,12566,6034
SHCBP1L,0,0,0,0,0,0,0,0
HMGN1P4,2,3,8,0,0,0,0,1
RNA5SP71,0,0,0,0,0,0,0,0
AL450304.2,0,0,0,0,0,0,0,0
AL450304.1,0,0,0,0,0,0,0,0
KRT18P28,2,0,16,0,0,0,0,0
RNU6-41P,0,0,0,0,0,0,0,0
LAMC1,49669,37770,13064,35594,44024,43113,20418,18454
LAMC1-AS1,10,8,5,2,15,3,9,2
LAMC2,325,183,496,273,567,560,428,177
NMNAT2,285,166,476,118,232,263,425,38
AL354953.1,0,0,3,0,3,0,0,0
AL356981.1,0,0,0,0,0,0,0,0
AL449223.1,0,0,0,0,0,0,0,0
SMG7-AS1,56,63,37,34,69,40,12,36
SMG7,4799,3694,2948,3825,3935,4067,3509,2426
NCF2,10,8,20,10,16,11,15,21
AL137800.1,0,0,3,0,0,0,1,0
ARPC5,4421,4060,4254,3165,5326,5712,5237,2117
RGL1,4840,3727,1349,3636,5141,5386,2317,1516
APOBEC4,22,12,8,4,8,16,0,4
AL157899.1,3,1,0,2,4,6,0,0
AL590422.1,0,0,0,0,0,0,0,0
COLGALT2,2474,2161,1244,2003,2678,2675,1751,1268
TSEN15,1661,1743,1919,1186,1600,1807,2056,929
AL158011.2,14,0,3,0,6,6,0,0
AL158011.1,0,0,0,0,0,0,0,0
AL445228.1,0,0,0,0,0,0,0,0
AL445228.2,0,0,0,0,0,0,0,0
RN7SL654P,0,0,0,0,0,0,0,0
AL445228.3,24,0,16,12,4,6,24,12
C1orf21,3140,3193,3644,2101,2002,1861,3132,1091
AL078645.1,8,2,0,0,0,0,0,0
AL078645.2,0,4,0,0,0,0,12,2
AL713852.1,23,43,130,3,8,16,100,12
AL713852.2,0,0,26,0,0,8,15,0
EDEM3,2668,2444,1357,1852,1585,1511,1442,1393
NIBAN1,5663,5089,439,4457,8524,6088,1095,2326
RNU7-13P,2,0,0,1,4,0,0,0
LINC01633,0,0,0,0,0,0,0,0
RNA5SP72,0,0,0,0,0,0,0,0
RNF2,1530,1474,1871,1154,1305,1784,1870,924
FTH1P25,0,0,0,0,0,0,4,4
TRMT1L,1175,1207,1068,777,709,648,1191,672
SWT1,442,407,341,316,290,322,457,195
RPL22P24,46,42,24,13,32,31,47,14
