"","Metabolic_activity","compound","taxonomy.ID"
"827","Consumption (import) & production (export)","C00011","Bacteroides ovatus"
"828","Consumption (import) & production (export)","C00011","[Bacteroides] pectinophilus"
"829","Consumption (import) & production (export)","C00011","Phocaeicola plebeius"
"830","Consumption (import) & production (export)","C00011","Phocaeicola salanitronis"
"831","Consumption (import) & production (export)","C00011","Bacteroides stercoris"
"832","Consumption (import) & production (export)","C00011","Bacteroides thetaiotaomicron"
"833","Consumption (import) & production (export)","C00011","Bacteroides uniformis"
"834","Consumption (import) & production (export)","C00011","Phocaeicola vulgatus"
"835","Consumption (import) & production (export)","C00011","Bacteroides xylanisolvens"
"836","Consumption (import)","C00011","Blautia hydrogenotrophica"
"837","Production (export)","C00011","Butyrivibrio crossotus"
"838","Production (export)","C00011","Butyrivibrio fibrisolvens"
"839","Production (export)","C00011","Butyrivibrio proteoclasticus"
"840","Consumption (import)","C00011","Caminibacter mediatlanticus"
"841","Consumption (import)","C00011","Chloroflexus aurantiacus"
"842","Production (export)","C00011","Clostridium acetobutylicum"
"843","Production (export)","C00011","Enterocloster asparagiformis"
"844","Production (export)","C00011","Intestinibacter bartlettii"
"845","Production (export)","C00011","Clostridium beijerinckii"
"846","Production (export)","C00011","Enterocloster bolteae"
"847","Production (export)","C00011","Clostridium botulinum"
"848","Production (export)","C00011","Clostridium butyricum"
"849","Production (export)","C00011","Clostridium carboxidivorans"
"850","Production (export)","C00011","Ruminiclostridium cellulolyticum"
"851","Production (export)","C00011","Clostridium cellulovorans"
"853","Production (export)","C00011","Clostridioides difficile"
"854","Production (export)","C00011","Hungatella hathewayi"
"855","Production (export)","C00011","Peptacetobacter hiranonis"
"856","Production (export)","C00011","[Clostridium] hylemonae"
"857","Production (export)","C00011","Clostridium kluyveri"
"858","Production (export)","C00011","[Clostridium] leptum"
"859","Production (export)","C00011","Clostridium ljungdahlii"
"860","Production (export)","C00011","[Clostridium] methylpentosum"
"861","Production (export)","C00011","Tyzzerella nexilis"
"862","Production (export)","C00011","Clostridium novyi"
"863","Production (export)","C00011","Ruminiclostridium papyrosolvens"
"864","Production (export)","C00011","Clostridium perfringens"
"865","Production (export)","C00011","Lachnoclostridium phytofermentans"
"866","Production (export)","C00011","Lacrimispora saccharolytica"
"867","Production (export)","C00011","[Clostridium] scindens"
"868","Production (export)","C00011","Clostridium sporogenes"
"869","Production (export)","C00011","Acetoanaerobium sticklandii"
"870","Production (export)","C00011","[Clostridium] symbiosum"
"871","Production (export)","C00011","Clostridium tetani"
"872","Production (export)","C00011","Acetivibrio thermocellus"
"874","Production (export)","C00011","Coprococcus eutactus"
"875","Consumption (import)","C00011","Desulforapulum autotrophicum"
"876","Consumption (import)","C00011","Desulfobulbus propionicus"
"877","Consumption (import)","C00011","Pseudodesulfovibrio aespoeensis"
"878","Consumption (import)","C00011","Desulfovibrio desulfuricans"
"879","Consumption (import)","C00011","Solidesulfovibrio fructosivorans"
"880","Consumption (import)","C00011","Solidesulfovibrio magneticus"
"881","Consumption (import)","C00011","Desulfovibrio piger"
"882","Consumption (import)","C00011","Maridesulfovibrio salexigens"
"883","Consumption (import) & production (export)","C00011","Desulfovibrio vulgaris"
"884","Production (export)","C00011","Desulfuromonas acetoxidans"
"885","Production (export)","C00011","Dorea formicigenerans"
"886","Production (export)","C00011","Escherichia albertii"
"887","Production (export)","C00011","Escherichia coli"
"888","Production (export)","C00011","Escherichia fergusonii"
"889","Production (export)","C00011","[Eubacterium] cellulosolvens"
"890","Production (export)","C00011","Lachnospira eligens"
"891","Production (export)","C00011","Anaerobutyricum hallii"
"892","Production (export)","C00011","Eubacterium limosum"
"893","Consumption (import) & production (export)","C00011","[Eubacterium] rectale"
"894","Production (export)","C00011","Lachnoanaerobaculum saburreum"
"895","Production (export)","C00011","[Eubacterium] saphenum"
"896","Production (export)","C00011","[Eubacterium] siraeum"
"897","Production (export)","C00011","Eubacterium ventriosum"
"898","Production (export)","C00011","Faecalibacterium prausnitzii"
"899","Consumption (import) & production (export)","C00011","Fibrobacter succinogenes"
"900","Production (export)","C00011","Geobacter metallireducens"
"901","Production (export)","C00011","Geobacter sulfurreducens"
"902","Production (export)","C00011","Helicobacter pylori"
"903","Consumption (import)","C00011","Ignicoccus hospitalis"
"904","Production (export)","C00011","Klebsiella pneumoniae"
"905","Production (export)","C00011","Klebsiella variicola"
"906","Production (export)","C00011","Lactobacillus acidophilus"
"907","Production (export)","C00011","Lactobacillus amylolyticus"
"908","Production (export)","C00011","Lactobacillus amylovorus"
"909","Production (export)","C00011","Limosilactobacillus antri"
"910","Production (export)","C00011","Levilactobacillus brevis"
"911","Production (export)","C00011","Lentilactobacillus buchneri"
"912","Production (export)","C00011","Lacticaseibacillus casei"
"913","Production (export)","C00011","Limosilactobacillus coleohominis"
"914","Production (export)","C00011","Lactobacillus crispatus"
"915","Production (export)","C00011","Lactobacillus delbrueckii"
"916","Production (export)","C00011","Limosilactobacillus fermentum"
"917","Production (export)","C00011","Lactobacillus gasseri"
"918","Production (export)","C00011","Lactobacillus helveticus"
"919","Production (export)","C00011","Lentilactobacillus hilgardii"
"920","Production (export)","C00011","Lactobacillus iners"
"921","Production (export)","C00011","Lactobacillus jensenii"
"922","Production (export)","C00011","Lactobacillus johnsonii"
"923","Production (export)","C00011","Limosilactobacillus oris"
"924","Production (export)","C00011","Lacticaseibacillus paracasei"
"925","Production (export)","C00011","Lactiplantibacillus plantarum"
"926","Production (export)","C00011","Limosilactobacillus reuteri"
"927","Production (export)","C00011","Lacticaseibacillus rhamnosus"
"928","Production (export)","C00011","Ligilactobacillus ruminis"
"929","Production (export)","C00011","Latilactobacillus sakei"
"930","Production (export)","C00011","Ligilactobacillus salivarius"
"931","Production (export)","C00011","Lactobacillus ultunensis"
"932","Production (export)","C00011","Limosilactobacillus vaginalis"
"933","Production (export)","C00011","Leuconostoc citreum"
"934","Production (export)","C00011","Leuconostoc gelidum subsp. gasicomitatum"
"935","Production (export)","C00011","Leuconostoc kimchii"
"936","Production (export)","C00011","Leuconostoc mesenteroides"
"937","Production (export)","C00011","Marvinbryantia formatexigens"
"938","Consumption (import)","C00011","Metallosphaera sedula"
"939","Consumption (import)","C00011","Methanobrevibacter ruminantium"
"940","Consumption (import)","C00011","Methanobrevibacter smithii"
"941","Consumption (import)","C00011","Methanocaldococcus jannaschii"
"942","Consumption (import)","C00011","Methanococcus maripaludis"
"943","Consumption (import)","C00011","Methanococcus vannielii"
"944","Consumption (import)","C00011","Methanococcus voltae"
"945","Consumption (import)","C00011","Methanopyrus kandleri"
"946","Consumption (import) & production (export)","C00011","Methanothrix thermoacetophila"
"947","Consumption (import) & production (export)","C00011","Methanosarcina acetivorans"
"948","Consumption (import) & production (export)","C00011","Methanosarcina barkeri"
"949","Consumption (import) & production (export)","C00011","Methanosarcina mazei"
"950","Consumption (import)","C00011","Methanosphaerula palustris"
"951","Consumption (import)","C00011","Methanospirillum hungatei"
"952","Consumption (import)","C00011","Methanothermobacter thermautotrophicus"
"953","Consumption (import)","C00011","Methanothermus fervidus"
"954","Production (export)","C00011","Methylococcus capsulatus"
"955","Production (export)","C00011","Mycoplasmopsis agalactiae"
"956","Production (export)","C00011","Mycoplasmopsis alligatoris"
"957","Production (export)","C00011","Metamycoplasma arthritidis"
"958","Production (export)","C00011","Mycoplasmopsis bovis"
"959","Production (export)","C00011","Mycoplasma capricolum"
"960","Production (export)","C00011","Mesomycoplasma conjunctivae"
"961","Production (export)","C00011","Mycoplasma crocodyli"
"962","Production (export)","C00011","Mycoplasmopsis fermentans"
"963","Production (export)","C00011","Mycoplasmoides gallisepticum"
"964","Production (export)","C00011","Mycoplasmoides genitalium"
"965","Production (export)","C00011","Mycoplasma haemofelis"
"966","Production (export)","C00011","Metamycoplasma hominis"
"967","Production (export)","C00011","Mesomycoplasma hyopneumoniae"
"968","Production (export)","C00011","Mesomycoplasma hyorhinis"
"969","Production (export)","C00011","Mycoplasma leachii"
"970","Production (export)","C00011","Mesomycoplasma mobile"
"971","Production (export)","C00011","Mycoplasma mycoides"
"972","Production (export)","C00011","Malacoplasma penetrans"
"973","Production (export)","C00011","Mycoplasmoides pneumoniae"
"974","Production (export)","C00011","Mycoplasmopsis pulmonis"
"975","Production (export)","C00011","Mycoplasmopsis synoviae"
"976","Production (export)","C00011","Oxalobacter formigenes"
"977","Production (export)","C00011","Parvularcula bermudensis"
"978","Consumption (import)","C00011","Pelobacter propionicus"
"979","Consumption (import) & production (export)","C00011","Pelotomaculum thermopropionicum"
"980","Production (export)","C00011","Peptostreptococcus anaerobius"
"981","Production (export)","C00011","Peptostreptococcus stomatis"
"982","Production (export)","C00011","Porphyromonas asaccharolytica"
"983","Production (export)","C00011","Cutibacterium acnes"
"984","Production (export)","C00011","Propionibacterium freudenreichii"
"985","Consumption (import) & production (export)","C00011","Pseudomonas aeruginosa"
"986","Production (export)","C00011","Pyrobaculum aerophilum"
"987","Production (export)","C00011","Roseburia intestinalis"
"988","Production (export)","C00011","Ruminococcus albus"
"989","Consumption (import) & production (export)","C00011","Ruminococcus flavefaciens"
"990","Production (export)","C00011","Shewanella putrefaciens"
"991","Production (export)","C00011","Streptococcus agalactiae"
"992","Production (export)","C00011","Streptococcus anginosus"
"993","Production (export)","C00011","Streptococcus australis"
"994","Production (export)","C00011","Streptococcus equinus"
"995","Production (export)","C00011","Streptococcus cristatus"
"996","Production (export)","C00011","Streptococcus downei"
"997","Production (export)","C00011","Streptococcus dysgalactiae"
"998","Production (export)","C00011","Streptococcus equi"
"999","Production (export)","C00011","Streptococcus gallolyticus"
"1000","Production (export)","C00011","Streptococcus gordonii"
"1001","Production (export)","C00011","Streptococcus infantarius"
"1002","Production (export)","C00011","Streptococcus infantis"
"1003","Production (export)","C00011","Streptococcus mitis"
"1004","Production (export)","C00011","Streptococcus mutans"
"1005","Production (export)","C00011","Streptococcus oralis"
"1006","Production (export)","C00011","Streptococcus parasanguinis"
"1007","Production (export)","C00011","Streptococcus peroris"
"1008","Production (export)","C00011","Streptococcus pneumoniae"
"1009","Production (export)","C00011","Streptococcus pseudoporcinus"
"1010","Production (export)","C00011","Streptococcus pyogenes"
"1011","Production (export)","C00011","Streptococcus salivarius"
"1012","Production (export)","C00011","Streptococcus sanguinis"
"1013","Production (export)","C00011","Streptococcus suis"
"1014","Production (export)","C00011","Streptococcus thermophilus"
"1015","Production (export)","C00011","Streptococcus uberis"
"1016","Production (export)","C00011","Streptococcus vestibularis"
"1017","Production (export)","C00011","Saccharolobus solfataricus"
"1018","Production (export)","C00011","Syntrophobacter fumaroxidans"
"1019","Consumption (import) & production (export)","C00011","Syntrophomonas wolfei"
"1020","Consumption (import) & production (export)","C00011","Syntrophus aciditrophicus"
"1021","Production (export)","C00011","Thermoplasma acidophilum"
"1022","Production (export)","C00011","Thermotoga maritima"
"1023","Consumption (import)","C00011","Thiobacillus denitrificans"
"1024","Production (export)","C00011","Veillonella parvula"
"1025","Production (export)","C00011","Zymomonas mobilis"
"1026","Consumption (import)","C01771","Clostridium kluyveri"
"1027","Consumption (import)","C01771","Syntrophomonas wolfei"
"1031","Consumption (import)","C00216, C00259","Acidovorax avenae"
"1032","Consumption (import)","C00216, C00259","Acidovorax delafieldii"
"1033","Consumption (import)","C00216, C00259","Actinobacillus succinogenes"
"1034","Consumption (import)","C00216, C00259","Aeromonas hydrophila"
"1035","Consumption (import)","C00216, C00259","Aeromonas salmonicida"
"1036","Consumption (import)","C00216, C00259","Bacteroides ovatus"
"1037","Consumption (import)","C00216, C00259","Bacteroides thetaiotaomicron"
"1038","Consumption (import)","C00216, C00259","Bacteroides xylanisolvens"
"1039","Consumption (import)","C00216, C00259","Butyrivibrio fibrisolvens"
"1040","Consumption (import)","C00216, C00259","Butyrivibrio proteoclasticus"
"1041","Consumption (import)","C00216, C00259","Clostridium acetobutylicum"
"1043","Consumption (import)","C00216, C00259","Coprococcus comes"
"1044","Consumption (import)","C00216, C00259","Dorea longicatena"
"1045","Consumption (import)","C00216, C00259","[Eubacterium] rectale"
"1046","Consumption (import)","C00216, C00259","Holdemania filiformis"
"1047","Consumption (import)","C00216, C00259","Klebsiella pneumoniae"
"1048","Consumption (import)","C00216, C00259","Marvinbryantia formatexigens"
"1049","Consumption (import)","C00216, C00259","Megamonas hypermegale"
"1050","Consumption (import)","C00216, C00259","Methylobacterium nodulans"
"1051","Consumption (import)","C00216, C00259","Odoribacter splanchnicus"
"1052","Consumption (import)","C00216, C00259","Prevotella copri"
"1053","Consumption (import)","C00216, C00259","Prevotella ruminicola"
"1054","Consumption (import)","C00216, C00259","Roseburia intestinalis"
"1055","Consumption (import)","C00216, C00259","Blautia obeum"
"1056","Consumption (import)","C00216, C00259","Shigella boydii"
"1057","Consumption (import)","C00216, C00259","Sulfolobus acidocaldarius"
"1058","Consumption (import)","C00216, C00259","Saccharolobus solfataricus"
"1059","Consumption (import)","C00095","Acholeplasma laidlawii"
"1060","Consumption (import)","C00095","Actinobacillus succinogenes"
"1061","Consumption (import)","C00095","Anaerostipes caccae"
"1062","Consumption (import)","C00095","Anaerotruncus colihominis"
"1063","Consumption (import)","C00095","Bacteroides caccae"
"1064","Consumption (import)","C00095","Bacteroides cellulosilyticus"
"1065","Consumption (import)","C00095","Phocaeicola coprocola"
"1066","Consumption (import)","C00095","Phocaeicola coprophilus"
"1067","Consumption (import)","C00095","Phocaeicola dorei"
"1068","Consumption (import)","C00095","Bacteroides eggerthii"
"1069","Consumption (import)","C00095","Bacteroides finegoldii"
"1070","Consumption (import)","C00095","Bacteroides fragilis"
"1071","Consumption (import)","C00095","Bacteroides helcogenes"
"1072","Consumption (import)","C00095","Bacteroides intestinalis"
"1073","Consumption (import)","C00095","Bacteroides ovatus"
"1074","Consumption (import)","C00095","[Bacteroides] pectinophilus"
"1075","Consumption (import)","C00095","Phocaeicola plebeius"
"1076","Consumption (import)","C00095","Phocaeicola salanitronis"
"1077","Consumption (import)","C00095","Bacteroides stercoris"
"1078","Consumption (import)","C00095","Bacteroides thetaiotaomicron"
"1079","Consumption (import)","C00095","Bacteroides uniformis"
"1080","Consumption (import)","C00095","Phocaeicola vulgatus"
"1081","Consumption (import)","C00095","Bacteroides xylanisolvens"
"1082","Consumption (import)","C00095","Bifidobacterium adolescentis"
"1083","Consumption (import)","C00095","Bifidobacterium angulatum"
"1084","Consumption (import)","C00095","Bifidobacterium animalis"
"1085","Consumption (import)","C00095","Bifidobacterium bifidum"
"1086","Consumption (import)","C00095","Bifidobacterium breve"
"1087","Consumption (import)","C00095","Bifidobacterium catenulatum"
"1088","Consumption (import)","C00095","Bifidobacterium dentium"
"1089","Consumption (import)","C00095","Bifidobacterium gallicum"
"1090","Consumption (import)","C00095","Bifidobacterium longum"
"1091","Consumption (import)","C00095","Bifidobacterium pseudocatenulatum"
"1092","Consumption (import)","C00095","Blautia hydrogenotrophica"
"1093","Consumption (import)","C00095","Butyrivibrio fibrisolvens"
"1094","Consumption (import)","C00095","Butyrivibrio proteoclasticus"
"1095","Consumption (import)","C00095","Catenibacterium mitsuokai"
"1096","Consumption (import)","C00095","Clostridioides difficile"
"1097","Consumption (import)","C00095","Collinsella intestinalis"
"1099","Consumption (import)","C00095","Coprococcus catus"
"1100","Consumption (import)","C00095","Coprococcus comes"
"1101","Consumption (import)","C00095","Coprococcus eutactus"
"1102","Consumption (import)","C00095","Dorea formicigenerans"
"1103","Consumption (import)","C00095","Dorea longicatena"
"1104","Consumption (import)","C00095","[Eubacterium] siraeum"
"1105","Consumption (import)","C00095","Faecalibacterium prausnitzii"
"1106","Consumption (import)","C00095","Flavobacterium johnsoniae"
"1107","Consumption (import)","C00095","Holdemania filiformis"
"1108","Consumption (import)","C00095","Lactobacillus acidophilus"
"1109","Consumption (import)","C00095","Lactobacillus amylolyticus"
"1110","Consumption (import)","C00095","Lactobacillus amylovorus"
"1111","Consumption (import)","C00095","Limosilactobacillus antri"
"1112","Consumption (import)","C00095","Levilactobacillus brevis"
"1113","Consumption (import)","C00095","Lentilactobacillus buchneri"
"1114","Consumption (import)","C00095","Lacticaseibacillus casei"
"1115","Consumption (import)","C00095","Limosilactobacillus coleohominis"
"1116","Consumption (import)","C00095","Lactobacillus crispatus"
"1117","Consumption (import)","C00095","Lactobacillus delbrueckii"
"1118","Consumption (import)","C00095","Limosilactobacillus fermentum"
"1119","Consumption (import)","C00095","Lactobacillus gasseri"
"1120","Consumption (import)","C00095","Lactobacillus helveticus"
"1121","Consumption (import)","C00095","Lentilactobacillus hilgardii"
"1122","Consumption (import)","C00095","Lactobacillus iners"
"1123","Consumption (import)","C00095","Lactobacillus jensenii"
"1124","Consumption (import)","C00095","Lactobacillus johnsonii"
"1125","Consumption (import)","C00095","Limosilactobacillus oris"
"1126","Consumption (import)","C00095","Lacticaseibacillus paracasei"
"1127","Consumption (import)","C00095","Lactiplantibacillus plantarum"
"1128","Consumption (import)","C00095","Limosilactobacillus reuteri"
"1129","Consumption (import)","C00095","Lacticaseibacillus rhamnosus"
"1130","Consumption (import)","C00095","Ligilactobacillus ruminis"
"1131","Consumption (import)","C00095","Latilactobacillus sakei"
"1132","Consumption (import)","C00095","Ligilactobacillus salivarius"
"1133","Consumption (import)","C00095","Lactobacillus ultunensis"
"1134","Consumption (import)","C00095","Limosilactobacillus vaginalis"
"1135","Consumption (import)","C00095","Leuconostoc mesenteroides"
"1136","Consumption (import)","C00095","Marvinbryantia formatexigens"
"1137","Consumption (import)","C00095","Odoribacter splanchnicus"
"1138","Consumption (import)","C00095","Pediococcus acidilactici"
"1139","Consumption (import)","C00095","Roseburia intestinalis"
"1140","Consumption (import)","C00095","Ruminococcus bromii"
"1141","Consumption (import)","C00095","Streptococcus parasanguinis"
"1142","Consumption (import)","C00095","Streptococcus salivarius"
"1143","Consumption (import)","C00095","Streptococcus vestibularis"
"1144","Consumption (import)","C00095","Subdoligranulum variabile"
"1145","Consumption (import)","C00095","Saccharolobus solfataricus"
"1146","Consumption (import)","C00905","Escherichia coli"
"1147","Consumption (import)","C02262","Bifidobacterium animalis"
"1148","Consumption (import)","C02262","Bifidobacterium breve"
"1149","Consumption (import)","C02262","Bifidobacterium catenulatum"
"1150","Consumption (import)","C02262","Bifidobacterium dentium"
"1151","Consumption (import)","C02262","Bifidobacterium longum"
"1152","Consumption (import)","C00124","Acholeplasma laidlawii"
"1153","Consumption (import)","C00124","Achromobacter xylosoxidans"
"1154","Consumption (import)","C00124","Acidovorax avenae"
"1155","Consumption (import)","C00124","Acidovorax delafieldii"
"1156","Consumption (import)","C00124","Anaerococcus lactolyticus"
"1157","Consumption (import)","C00124","Anaerotruncus colihominis"
"1158","Consumption (import)","C00124","Bacteroides eggerthii"
"1159","Consumption (import)","C00124","Bacteroides ovatus"
"1160","Consumption (import)","C00124","Bacteroides thetaiotaomicron"
"1161","Consumption (import)","C00124","Bacteroides xylanisolvens"
"1162","Consumption (import)","C00124","Bifidobacterium adolescentis"
"1163","Consumption (import)","C00124","Bifidobacterium angulatum"
"1164","Consumption (import)","C00124","Bifidobacterium animalis"
"1165","Consumption (import)","C00124","Bifidobacterium bifidum"
"1166","Consumption (import)","C00124","Bifidobacterium breve"
"1167","Consumption (import)","C00124","Bifidobacterium catenulatum"
"1168","Consumption (import)","C00124","Bifidobacterium dentium"
"1169","Consumption (import)","C00124","Bifidobacterium gallicum"
"1170","Consumption (import)","C00124","Bifidobacterium longum"
"1171","Consumption (import)","C00124","Bifidobacterium pseudocatenulatum"
"1172","Consumption (import)","C00124","Blautia hydrogenotrophica"
"1173","Consumption (import)","C00124","Butyrivibrio fibrisolvens"
"1174","Consumption (import)","C00124","Butyrivibrio proteoclasticus"
"1175","Consumption (import)","C00124","Catenibacterium mitsuokai"
"1176","Consumption (import)","C00124","Clostridium acetobutylicum"
"1177","Consumption (import)","C00124","Tyzzerella nexilis"
"1178","Consumption (import)","C00124","Collinsella intestinalis"
"1180","Consumption (import)","C00124","Coprococcus comes"
"1181","Consumption (import)","C00124","Dorea formicigenerans"
"1182","Consumption (import)","C00124","Dorea longicatena"
"1183","Consumption (import)","C00124","Escherichia coli"
"1184","Consumption (import)","C00124","Flavobacterium johnsoniae"
"1185","Consumption (import)","C00124","Marvinbryantia formatexigens"
"1186","Consumption (import)","C00124","Methylobacterium nodulans"
"1187","Consumption (import)","C00124","Odoribacter splanchnicus"
"1188","Consumption (import)","C00124","Picrophilus torridus"
"1189","Consumption (import)","C00124","[Ruminococcus] torques"
"1190","Consumption (import)","C00124","Subdoligranulum variabile"
"1191","Consumption (import)","C00124","Sulfolobus acidocaldarius"
"1192","Consumption (import)","C00124","Saccharolobus solfataricus"
"1193","Consumption (import)","C00333","Bacteroides eggerthii"
"1194","Consumption (import)","C00333","Bacteroides fragilis"
"1195","Consumption (import)","C00333","Bacteroides ovatus"
"1196","Consumption (import)","C00333","Bacteroides thetaiotaomicron"
"1197","Consumption (import)","C00333","Phocaeicola vulgatus"
"1198","Consumption (import)","C00333","Butyrivibrio proteoclasticus"
"1199","Consumption (import)","C00333","Escherichia coli"
"1200","Consumption (import)","C00333","Flavobacterium johnsoniae"
"1201","Consumption (import)","C00257","Achromobacter piechaudii"
"1202","Consumption (import)","C00257","Escherichia coli"
"1203","Consumption (import)","C00257","Klebsiella pneumoniae"
"1204","Consumption (import)","C00257","Methylobacterium nodulans"
"1205","Consumption (import)","C00329","Bacteroides eggerthii"
"1206","Consumption (import)","C00329","Bacteroides fragilis"
"1207","Consumption (import)","C00329","Bacteroides ovatus"
"1208","Consumption (import)","C00329","Bacteroides thetaiotaomicron"
"1209","Consumption (import)","C00329","Phocaeicola vulgatus"
"1210","Consumption (import)","C00329","Bifidobacterium animalis"
"1211","Consumption (import)","C00329","Bifidobacterium bifidum"
"1212","Consumption (import)","C00329","Bifidobacterium breve"
"1213","Consumption (import)","C00329","Bifidobacterium catenulatum"
"1214","Consumption (import)","C00329","Bifidobacterium dentium"
"1215","Consumption (import)","C00329","Bifidobacterium longum"
"1216","Consumption (import)","C00329","Bifidobacterium pseudocatenulatum"
"1217","Consumption (import)","C00329","Collinsella aerofaciens"
"1219","Consumption (import)","C00329","Dorea longicatena"
"1220","Consumption (import)","C00329","Flavobacterium johnsoniae"
"1221","Consumption (import)","C00031","Acholeplasma laidlawii"
"1222","Consumption (import)","C00031","Achromobacter xylosoxidans"
"1223","Consumption (import)","C00031","Acidiphilium cryptum"
"1224","Consumption (import)","C00031","Acidovorax avenae"
"1225","Consumption (import)","C00031","Acidovorax delafieldii"
"1226","Consumption (import)","C00031","Actinobacillus succinogenes"
"1227","Consumption (import)","C00031","Aeromonas hydrophila"
"1228","Consumption (import)","C00031","Aeropyrum pernix"
"1229","Consumption (import)","C00031","Agrobacterium tumefaciens"
"1230","Consumption (import)","C00031","Anaerococcus hydrogenalis"
"1231","Consumption (import)","C00031","Anaerococcus lactolyticus"
"1232","Consumption (import)","C00031","Anaerococcus prevotii"
"1233","Consumption (import)","C00031","Anaerococcus tetradius"
"1234","Consumption (import)","C00031","Anaerococcus vaginalis"
"1235","Consumption (import)","C00031","Anaerostipes caccae"
"1236","Consumption (import)","C00031","Anaerotruncus colihominis"
"1237","Consumption (import)","C00031","Archaeoglobus fulgidus"
"1238","Consumption (import)","C00031","Azotobacter vinelandii"
"1239","Consumption (import)","C00031","Bacteroides fragilis"
"1240","Consumption (import)","C00031","Bacteroides ovatus"
"1241","Consumption (import)","C00031","Bacteroides thetaiotaomicron"
"1242","Consumption (import)","C00031","Bacteroides xylanisolvens"
"1243","Consumption (import)","C00031","Bifidobacterium adolescentis"
"1244","Consumption (import)","C00031","Bifidobacterium animalis"
"1245","Consumption (import)","C00031","Bifidobacterium bifidum"
"1246","Consumption (import)","C00031","Bifidobacterium breve"
"1247","Consumption (import)","C00031","Bifidobacterium longum"
"1248","Consumption (import)","C00031","Blautia hansenii"
"1249","Consumption (import)","C00031","Blautia hydrogenotrophica"
"1250","Consumption (import)","C00031","Buchnera aphidicola"
"1251","Consumption (import)","C00031","Butyrivibrio fibrisolvens"
"1252","Consumption (import)","C00031","Butyrivibrio proteoclasticus"
"1253","Consumption (import)","C00031","Catenibacterium mitsuokai"
"1254","Consumption (import)","C00031","Clostridium acetobutylicum"
"1255","Consumption (import)","C00031","Clostridium beijerinckii"
"1256","Consumption (import)","C00031","Clostridium botulinum"
"1257","Consumption (import)","C00031","Clostridium butyricum"
"1258","Consumption (import)","C00031","Ruminiclostridium cellulolyticum"
"1259","Consumption (import)","C00031","Clostridioides difficile"
"1260","Consumption (import)","C00031","Clostridium sporogenes"
"1261","Consumption (import)","C00031","Acetivibrio thermocellus"
"1262","Consumption (import)","C00031","Collinsella aerofaciens"
"1263","Consumption (import)","C00031","Collinsella intestinalis"
"1264","Consumption (import)","C00031","Collinsella stercoris"
"1266","Consumption (import)","C00031","Coprococcus comes"
"1267","Consumption (import)","C00031","Coprococcus eutactus"
"1268","Consumption (import)","C00031","Desulfovibrio piger"
"1269","Consumption (import)","C00031","Dorea formicigenerans"
"1270","Consumption (import)","C00031","Dorea longicatena"
"1271","Consumption (import)","C00031","Enterococcus faecalis"
"1272","Consumption (import)","C00031","Escherichia coli"
"1273","Consumption (import)","C00031","Anaerobutyricum hallii"
"1274","Consumption (import)","C00031","Eubacterium limosum"
"1275","Consumption (import)","C00031","[Eubacterium] rectale"
"1276","Consumption (import)","C00031","[Eubacterium] siraeum"
"1277","Consumption (import)","C00031","Faecalibacterium prausnitzii"
"1278","Consumption (import)","C00031","Fibrobacter succinogenes"
"1279","Consumption (import)","C00031","Flavobacterium johnsoniae"
"1280","Consumption (import)","C00031","Fusobacterium nucleatum"
"1281","Consumption (import)","C00031","Haemophilus influenzae"
"1282","Consumption (import)","C00031","Haemophilus parainfluenzae"
"1283","Consumption (import)","C00031","Haloarcula marismortui"
"1284","Consumption (import)","C00031","Halobacterium salinarum"
"1285","Consumption (import)","C00031","Haloferax volcanii"
"1286","Consumption (import)","C00031","Holdemania filiformis"
"1287","Consumption (import)","C00031","Klebsiella pneumoniae"
"1288","Consumption (import)","C00031","Lactobacillus acidophilus"
"1289","Consumption (import)","C00031","Lactobacillus amylovorus"
"1290","Consumption (import)","C00031","Lactobacillus gasseri"
"1291","Consumption (import)","C00031","Lactobacillus johnsonii"
"1292","Consumption (import)","C00031","Lactiplantibacillus plantarum"
"1293","Consumption (import)","C00031","Leptotrichia buccalis"
"1294","Consumption (import)","C00031","Pseudoleptotrichia goodfellowii"
"1295","Consumption (import)","C00031","Leptotrichia hofstadii"
"1296","Consumption (import)","C00031","Leuconostoc mesenteroides"
"1297","Consumption (import)","C00031","Marvinbryantia formatexigens"
"1298","Consumption (import)","C00031","Megamonas hypermegale"
"1299","Consumption (import)","C00031","Megasphaera micronuciformis"
"1300","Consumption (import)","C00031","Methanocaldococcus jannaschii"
"1301","Consumption (import)","C00031","Odoribacter splanchnicus"
"1302","Consumption (import)","C00031","Parabacteroides distasonis"
"1303","Consumption (import)","C00031","Parabacteroides merdae"
"1304","Consumption (import)","C00031","Peptostreptococcus anaerobius"
"1305","Consumption (import)","C00031","Picrophilus torridus"
"1306","Consumption (import)","C00031","Prevotella copri"
"1307","Consumption (import)","C00031","Prevotella ruminicola"
"1308","Consumption (import)","C00031","Cutibacterium acnes"
"1309","Consumption (import)","C00031","Propionibacterium freudenreichii"
"1310","Consumption (import)","C00031","Pseudomonas aeruginosa"
"1311","Consumption (import)","C00031","Pseudomonas mendocina"
"1312","Consumption (import)","C00031","Pyrobaculum aerophilum"
"1313","Consumption (import)","C00031","Pyrococcus furiosus"
"1314","Consumption (import)","C00031","Pyrococcus horikoshii"
"1315","Consumption (import)","C00031","Ralstonia pickettii"
"1316","Consumption (import)","C00031","Roseburia intestinalis"
